admin0,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
ISL,0.203,0,0.15,5.698,8.256,current,2020
ISL,0.545,0.414,4.788,9.309,12.548,optimistic,2050
ISL,0.809,0.379,8.614,13.031,16.547,pessimistic,2050
ISL,1.107,3.088,9.065,13.369,16.792,optimistic,2100
ISL,0.327,0.494,0.855,6.972,10.412,pessimistic,2100
ISR,71.06,0,83.43,1966.231,2839.8,current,2020
ISR,846.002,4107.519,5731.988,6640.065,7316.972,optimistic,2050
ISR,864.454,4198.587,5910.366,6731.318,7355.383,pessimistic,2050
ISR,907.448,4542.037,6052.588,6848.502,7417.094,optimistic,2100
ISR,1270.159,6993.891,7935.826,8428.272,8477.181,pessimistic,2100
ITA,81.198,0,61.243,2269.904,3335.044,current,2020
ITA,235.392,533.719,1857.115,3242.838,4287.9,optimistic,2050
ITA,404.461,1260.713,3280.752,4539.158,5637.653,pessimistic,2050
ITA,269.739,640.966,2160.762,3577.048,4767.052,optimistic,2100
ITA,991.769,4764.038,6821.967,7847.174,8554.3,pessimistic,2100
JAM,8.536,15.849,28.249,169.111,243.922,current,2020
JAM,22.244,23.006,210.391,345.941,460.901,optimistic,2050
JAM,31.833,52.509,300.084,442.645,572.596,pessimistic,2050
JAM,26.515,54.747,225.661,366.047,469.254,optimistic,2100
JAM,77.822,358.808,556.056,642.989,683.898,pessimistic,2100
JOR,64.048,0,49.412,1802.058,2603.042,current,2020
JOR,809.374,3994.828,5460.126,6233.742,6681.093,optimistic,2050
JOR,911.075,4635.992,6125.045,6646.522,6954.389,pessimistic,2050
