admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
NAM,NAM.12_1,18.87741828,8.074698073,17.63109111,49.10648615,86.71586207,104.7925873,118.5635101,133.2160469,148.1303298,159.0775558,current,2020
NAM,NAM.13_1,35.06771344,1.137706161,35.39173917,114.1116438,194.5714923,347.7851633,492.6798769,721.9819426,930.5135106,1019.972763,current,2020
NAM,NAM.2_1,17.42975523,11.08212066,17.87289312,21.62206314,25.05888503,34.75408302,45.42226926,52.73482673,56.81546602,60.3426423,current,2020
NAM,NAM.3_1,20.51120086,10.75877136,23.56866294,29.55880823,44.85133501,62.66527236,70.36200357,75.47620223,81.22122894,85.26587742,current,2020
NAM,NAM.4_1,1920.705396,134.7250362,4518.613839,6207.015267,7664.79275,8435.093733,8982.266148,9707.877247,10035.893,11436.28111,current,2020
NAM,NAM.5_1,12.65843851,5.764682234,12.25466384,23.0695676,50.87710216,55.45970675,58.0380278,60.29109892,63.67097087,67.70085689,current,2020
NAM,NAM.6_1,76.98784201,47.89415112,62.78456936,67.64974009,74.51253671,80.58398491,84.02010883,88.33144692,90.93726516,91.47703127,current,2020
NAM,NAM.7_1,52.332524,30.70265335,98.37444532,113.9078382,147.5214764,174.9706414,191.8141999,203.8229802,262.2802937,285.3239974,current,2020
NAM,NAM.8_1,16.63303858,7.957704811,17.73047408,28.13342936,36.92644014,41.88631249,47.45981368,53.54401511,60.07497037,68.13185225,current,2020
NAM,NAM.9_1,4.517378564,2.115067597,9.518100713,11.16137456,17.46978606,18.86994511,21.01022868,29.15415725,29.3628706,30.50514516,current,2020
NER,NER.1_1,14.07504784,6.352762252,26.67198092,37.97694297,54.60491812,61.29826537,81.82049447,91.63178697,96.24274456,96.80550826,current,2020
NER,NER.2_1,12427.40898,6114.742455,10807.39481,18673.37308,24655.24241,27500.72584,29655.7485,33035.65594,34292.88285,35330.24188,current,2020
NER,NER.3_1,12320.64193,1467.752791,31312.81434,42072.23157,48256.3941,51343.5514,52876.71506,53863.2346,54655.01323,55300.71481,current,2020
NER,NER.4_1,20.26621407,0.56731376,38.41509335,71.79442709,102.4477332,113.9125228,202.584686,393.8002597,396.8499726,404.2684882,current,2020
NER,NER.5_1,3676.682403,0,0,0,0,0,208157.1613,222444.4628,225091.2369,225194.0976,current,2020
NER,NER.6_1,207.0539822,21.30320402,87.90362907,229.5976026,2227.847282,2543.980168,3547.882335,4564.8975,5317.752119,5406.12675,current,2020
NER,NER.7_1,51037.2089,7253.911172,124259.4144,183570.4841,207429.8602,215821.8987,220151.4573,225306.7258,231914.5958,234394.8477,current,2020
NER,NER.8_1,6259.561939,3160.207884,9483.126753,13582.1964,18263.59267,21917.40499,25758.93394,28237.93174,30366.69535,30857.35288,current,2020
NGA,NGA.1_1,279.7410387,30.93733782,510.7598041,514.4874459,1118.508418,4008.397724,4586.872294,5171.147618,5239.054265,5739.881752,current,2020
NGA,NGA.10_1,63591.07923,23705.02039,100300.5741,117999.6481,260572.5727,463010.6893,843173.3212,908262.6642,951342.3437,971457.4916,current,2020
NGA,NGA.11_1,1562.326119,763.1914693,2472.143703,4128.975335,5101.398115,5332.364087,5740.336137,6051.896252,6205.949899,6340.718783,current,2020
NGA,NGA.12_1,20999.90734,9976.002468,13145.04118,17023.37349,22708.09368,26332.66006,26954.248,27745.47329,28219.79982,28494.66939,current,2020
NGA,NGA.13_1,0.043623845,0,0,0,0.237834779,0.237842469,2.444274678,2.444276138,2.444276138,2.598938355,current,2020
NGA,NGA.14_1,143.0322136,42.89058918,216.4217806,464.1658541,821.2059443,960.2598021,1025.732425,1370.479929,1954.197584,1985.796307,current,2020
NGA,NGA.15_1,581.3941349,12.226071,850.5564063,2632.869768,3918.845063,4158.22038,4250.671587,4310.333217,4337.537484,4374.254307,current,2020
NGA,NGA.16_1,2721.283203,1143.656346,5071.767787,10072.46089,12313.34683,13601.78536,14507.39483,15811.96184,15999.35717,16791.01547,current,2020
NGA,NGA.17_1,778.7059465,0,376.9218404,2854.143688,5942.096471,6732.756286,7092.333363,8908.628863,9394.454631,10116.26833,current,2020
NGA,NGA.18_1,2054.516664,906.8772365,2332.860543,5754.584167,9848.447472,12774.98238,16308.24128,20612.22452,22883.9029,24072.30745,current,2020
NGA,NGA.19_1,2420.986922,1000.747661,2630.996207,4163.594339,4997.672152,30484.85467,34162.37061,36106.14649,36971.86657,36990.31356,current,2020
