admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
NLD,2165.932721,0,0.319573718,252.2360473,14434.49506,43040.3999,61116.22914,91944.56239,115836.4855,136493.1612,current,2020
NOR,31.78132231,1.42336452,23.61127744,54.69298167,153.2213065,319.4053071,476.2258195,678.2079044,1196.487871,2007.629139,current,2020
NPL,44556.79357,26827.86717,62774.61175,78167.88516,100140.8244,120076.3832,137424.5556,255460.0107,270738.9612,282560.5807,current,2020
NZL,1317.525837,877.5887707,1433.86046,2204.257631,3288.641111,3767.465384,4360.164153,9999.592298,10841.57147,11564.83152,current,2020
OMN,117.3438716,39.33206891,66.41197635,201.798548,488.1301656,514.9697455,533.1758515,551.8508055,560.5958406,580.9396388,current,2020
PAK,998145.1989,407230.3999,761737.7781,1266421.432,1718287.929,1891601.522,2016921.921,2243564.039,2343815.393,2408481.426,current,2020
PAN,1394.224007,681.665279,1909.707859,2719.719417,4283.416409,5170.974509,5625.414071,6180.273272,6507.408112,6968.267645,current,2020
PER,59391.203,33533.87123,46626.8744,52780.31125,64972.5401,86759.70944,92060.52484,96415.90519,101600.7932,105381.3161,current,2020
PHL,95736.99522,44257.06299,95573.40776,198951.2672,374164.0461,489203.4228,636427.3003,866303.1461,975332.3995,1086717.031,current,2020
PNG,16463.80949,10362.37229,16312.41637,19375.97847,24664.52928,26009.55253,26927.47813,28020.46753,29255.90233,30332.56408,current,2020
POL,6712.118715,2229.663839,8509.54636,16431.15496,29647.04508,40681.16865,54930.65563,65305.3414,94360.67203,238966.4646,current,2020
PRK,45223.59663,23192.1924,46236.18397,70416.10952,126335.7624,222228.9581,286534.8232,335998.0578,369874.3865,403555.529,current,2020
PRT,1118.992051,223.9594319,1049.731755,4614.431914,6970.863171,8438.863688,9095.258518,10830.25029,11326.99613,12337.12989,current,2020
PRY,19736.76036,12749.2064,21798.68741,33615.87804,46708.009,58311.34316,70903.05099,89818.54327,96182.47189,101196.7239,current,2020
PSE,0.096271183,0,0,0,0,0,0,10.35974407,15.10166756,19.02055287,current,2020
QAT,0.235818234,0,0,0.219980684,0.268817599,1.297048636,9.7520862,10.23744047,14.7331507,15.21552316,current,2020
ROU,57231.24638,29743.01251,59005.98546,69433.27247,83882.10327,347687.7797,732751.6811,828202.7402,862075.3991,896240.4878,current,2020
RUS,108370.4,69894.71,141479.7,194670.69,288335.65,319185.21,349230.12,381445.62,406593.91,432305.46,current,2020
RWA,3173.338418,1032.266572,2202.698826,2841.889424,4102.854515,6054.23358,40772.67704,46523.53223,48929.27905,50574.03563,current,2020
SAU,426.8681584,138.4554774,204.2536556,273.7569066,373.5649321,432.8266506,691.2193419,1138.275359,1214.945269,1251.512512,current,2020
SDN,222218.6618,31702.06644,295264.1243,804012.7714,1100452.396,1322527.757,1465318.298,1615852.967,1732251.025,1787784.5,current,2020
SEN,49720.75877,23517.27657,100128.9947,140110.5038,169937.2725,188546.7275,205562.9381,233585.7367,243568.5484,252935.1602,current,2020
SLE,19020.61873,13848.41197,26700.6455,35469.434,43305.1231,47279.40681,49902.48862,53337.58772,58794.38253,60496.55106,current,2020
SLV,347.8763778,187.3123952,468.5948408,765.9919544,1299.042921,1767.287762,2461.646053,3125.702616,3289.557861,3589.982213,current,2020
SOM,49351.34928,26977.33087,52058.84656,102065.7505,217661.3268,251098.3333,297725.553,331296.5133,343541.0984,352701.7759,current,2020
SRB,19451.91492,9958.713382,26318.53687,33309.86347,61763.66255,85272.8402,132284.8115,151646.9589,167646.5128,173201.7706,current,2020
SSD,37097.43375,16377.99996,46729.13064,89739.27139,120527.5851,134453.4337,145896.4183,158397.802,165750.7095,174715.3642,current,2020
SUR,5346.394841,3567.979878,9029.559101,10553.19857,12159.01271,13237.39278,15152.05589,16431.44014,17528.43784,18340.69639,current,2020
SVK,1048.281692,123.1031281,1046.300869,3136.219986,6187.34852,8270.708501,16176.71221,20514.65228,22218.102,26655.86389,current,2020
SVN,421.1447792,15.40701183,158.2134539,1164.381675,3840.682874,5076.746957,5852.058956,6741.913292,7651.395492,8024.148812,current,2020
SWE,34.33947357,1.593462575,9.485048465,63.41535287,184.5816525,342.8965755,524.880226,1027.488714,2257.159203,5005.508543,current,2020
SWZ,51.7818213,18.29395843,83.97538457,144.3990384,198.6590948,227.8664193,246.8083257,272.2641456,313.8281895,335.9556183,current,2020
SYR,7830.768475,3072.268245,5628.416926,9981.91883,14811.76897,17170.53699,21291.22794,25088.71991,27742.54423,28334.37699,current,2020
TCD,71737.24764,44730.4078,76949.76257,107889.5243,157959.6025,177566.4348,196600.6596,219023.3165,246637.2102,253847.4722,current,2020
TGO,8321.724767,5263.102863,9976.609952,13103.62109,16896.43155,21064.01628,23033.38438,24336.56685,24900.79998,25728.36027,current,2020
THA,222204.5753,93011.35916,200227.9134,276096.1492,1022333.45,1316822.256,1663261.775,2159821.248,2279932.995,2816440.311,current,2020
TJK,2323.734246,1326.781456,2346.942729,3164.676092,3562.502475,3687.753647,3761.01684,3842.228538,3908.253522,3930.866569,current,2020
TKM,4371.345132,5828.865203,5834.259614,5837.894224,5887.97371,5920.244212,5940.895874,6218.059686,6294.536015,6418.934402,current,2020
TLS,26.87572235,0,42.92565493,126.7505471,174.0663112,196.7781328,220.0540144,258.5704713,270.8848804,274.6648227,current,2020
TUN,609.8785334,137.2069057,676.823039,1100.928447,3606.399664,5274.469117,7546.518569,8170.515705,8401.501992,9519.142459,current,2020
TUR,21182.31723,6662.069753,11232.93541,15627.63726,19127.92812,32138.63273,40038.91224,52325.28815,55153.45134,61269.85681,current,2020
TWN,295.4421138,3.876029499,106.5177559,342.4517643,1695.895214,5186.150295,7348.891159,9517.653151,11169.92903,14683.97732,current,2020
TZA,63247.21937,35070.98398,57477.14549,81134.55379,102743.5853,118225.5521,128562.5651,135042.6255,142038.3352,143524.5017,current,2020
UGA,19727.79164,12615.29016,15872.20095,20197.71928,23572.35338,26414.43921,27999.52463,29688.28671,30922.65649,31386.15615,current,2020
UKR,12635.02484,7130.042645,12318.33966,16937.48697,21442.16664,23441.63402,27035.04399,41082.58589,44414.82204,47954.93488,current,2020
URY,1401.717681,557.2947133,1204.530424,2323.830602,5585.876836,14968.32361,21959.80172,25480.25251,28309.59084,36521.59209,current,2020
USA,41963.43,19126.76,36816.99,55160.05,89535.66,109699.21,168277.59,635709.57,676718.61,725842.77,current,2020
UZB,1156.493418,161.0408731,270.6683856,1877.729393,7000.177885,12375.38858,14163.137,17817.66347,20050.7478,25755.126,current,2020
VEN,28074.11609,18319.51518,38115.48808,48542.32025,62526.10666,69534.62429,79997.51527,88143.38503,91618.14848,95161.36352,current,2020
VNM,2643727.641,1540077.45,2775044.977,3434458.018,4191426.434,4548595.43,4908575.919,5310929.366,5497963.528,5581038.283,current,2020
YEM,5536.694078,1833.337455,3210.498898,4173.066307,4750.573513,5317.878911,5674.894489,6083.778085,6786.326949,7198.711385,current,2020
ZAF,10850.28157,4797.198095,11820.52591,18482.65155,27972.77082,30389.66472,32485.71097,35000.78204,37171.72587,38969.15635,current,2020
ZMB,24130.02116,12403.38204,22565.66099,34999.38557,70005.29788,80175.60594,84943.48898,93383.58909,96754.24437,99541.35322,current,2020
ZWE,3910.286491,2482.927366,6804.886974,8500.355459,10361.9328,11234.68886,11725.36584,12400.57849,13175.08683,13633.63586,current,2020
AFG,15072.72582,3723.862408,16594.55582,23045.65742,34264.82163,56832.38076,71907.98959,78605.95533,83664.84981,89502.61913,optimistic,2100
AGO,110489.7171,51322.19335,114020.5733,305526.7884,330533.9291,346039.4348,424395.4598,465879.3594,479293.5383,483721.3864,optimistic,2100
