admin0,scenario,year,AAD,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250
EGY,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
EGY,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
EGY,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
EGY,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ERI,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
ERI,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
ERI,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ERI,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ERI,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ERI,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ESH,current,2020,,,,,,
ESH,medium,2050,,,,,,
ESH,medium,2100,,,,,,
ESH,optimistic,2050,,,,,,
ESH,optimistic,2100,,,,,,
ESH,pessimistic,2050,,,,,,
ESH,pessimistic,2100,,,,,,
ESP,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
ESP,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
ESP,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ESP,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ESP,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ESP,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
EST,current,2020,,,,,,
EST,medium,2050,,,,,,
EST,medium,2100,,,,,,
EST,optimistic,2050,,,,,,
EST,optimistic,2100,,,,,,
EST,pessimistic,2050,,,,,,
EST,pessimistic,2100,,,,,,
ETH,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
ETH,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
ETH,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ETH,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
ETH,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
ETH,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
FIN,current,2020,,,,,,
FIN,medium,2050,,,,,,
FIN,medium,2100,,,,,,
FIN,optimistic,2050,,,,,,
FIN,optimistic,2100,,,,,,
FIN,pessimistic,2050,,,,,,
FIN,pessimistic,2100,,,,,,
