time_horizon,scenario,GID_1,AAD_low,RP_10_low,RP_25_low,RP_50_low,RP_100_low,RP_250_low,AAD_medium,RP_10_medium,RP_25_medium,RP_50_medium,RP_100_medium,RP_250_medium,AAD_high,RP_10_high,RP_25_high,RP_50_high,RP_100_high,RP_250_high
2050,medium,USA.14_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.14_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.17_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.17_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.18_1,0.025703123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.18_1,0.025703123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.19_1,25498.08162,76673.22226,94169.84267,178494.4649,434369.6841,1004356.605,12135.98442,43721.81471,63318.40044,110333.9286,164899.9245,278048.5343,6553.969095,12362.12284,63756.01464,71091.76464,87381.66527,129876.4082
2100,medium,USA.19_1,31513.33603,105343.9474,169254.6544,209708.819,603850.5832,1486122.613,15212.82177,55724.52255,118163.616,137552.2088,162765.0054,322061.8101,8953.717803,26415.72234,99595.75062,99421.13986,107843.8095,158205.7128
2050,medium,USA.20_1,19.74893667,0,0,0,213.1870302,1675.163504,2.79659953,0,0,0,0,49.21070983,0.688858833,0,0,0,0,0
2100,medium,USA.20_1,64.97158711,0,0,0,511.3737922,6730.345889,10.81601143,0,0,0,4.23817033,1306.527062,1.358038762,0,0,0,0,45.56811919
2050,medium,USA.21_1,683.3857478,0,0,0,3526.249132,49297.26813,218.6891755,0,0,0,0,10225.77079,111.3964838,0,0,0,0,2956.349228
